دوره,عنوان دوره,مدیر,نوع صندوق,خالص ارزش دارایی (ریال),سهم از کل صنعت
1399-01,فروردین 1399,سایر مدیران,اهرمی,1213635793690,0.000578
1399-01,فروردین 1399,سایر مدیران,بازنشستگی,3602962636178,0.001716
1399-01,فروردین 1399,سایر مدیران,بخشی,1377873099854,0.000656
1399-01,فروردین 1399,سایر مدیران,جسورانه,734048531442,0.00035
1399-01,فروردین 1399,سایر مدیران,درآمد ثابت,1848970607532465,0.880621
1399-01,فروردین 1399,سایر مدیران,سهامی,84556698116671,0.040272
1399-01,فروردین 1399,سایر مدیران,شاخصی,1568854936069,0.000747
1399-01,فروردین 1399,سایر مدیران,صندوق در صندوق,621039703691,0.000296
1399-01,فروردین 1399,سایر مدیران,مختلط,8975758736645,0.004275
1399-01,فروردین 1399,سایر مدیران,پروژه‌ای,9950056239953,0.004739
1399-01,فروردین 1399,سایر مدیران,کالایی,12199286641961,0.00581
1399-01,فروردین 1399,سبد گردان کاریزما,درآمد ثابت,27991627251729,0.013332
1399-01,فروردین 1399,سبد گردان کاریزما,سهامی,2485121367226,0.001184
1399-01,فروردین 1399,سبد گردان کاریزما,شاخصی,668648101209,0.000318
1399-01,فروردین 1399,سبدگردان آگاه,درآمد ثابت,1081496878621,0.000515
1399-01,فروردین 1399,سبدگردان آگاه,سهامی,9815577908024,0.004675
1399-01,فروردین 1399,سبدگردان آگاه,مختلط,67410696994,3.2e-05
1399-01,فروردین 1399,سبدگردان توسعه فیروزه,درآمد ثابت,1706389959741,0.000813
1399-01,فروردین 1399,سبدگردان توسعه فیروزه,سهامی,1608176511260,0.000766
1399-01,فروردین 1399,سبدگردان توسعه فیروزه,شاخصی,770175450645,0.000367
1399-01,فروردین 1399,سبدگردان فارابی,درآمد ثابت,3091298777718,0.001472
1399-01,فروردین 1399,سبدگردان فارابی,سهامی,3226259363911,0.001537
1399-01,فروردین 1399,سبدگردان مفید,درآمد ثابت,37424528259392,0.017824
1399-01,فروردین 1399,سبدگردان مفید,سهامی,30784522519495,0.014662
1399-01,فروردین 1399,سبدگردان مفید,مختلط,1761204566551,0.000839
1399-01,فروردین 1399,سبدگردان مفید,کالایی,1641546671082,0.000782
1399-01,فروردین 1399,مشاور سرمایه گذاری ترنج,درآمد ثابت,442810046176,0.000211
1399-01,فروردین 1399,مشاور سرمایه گذاری ترنج,سهامی,1282535624947,0.000611
1399-02,اردیبهشت 1399,سایر مدیران,اهرمی,2068475697329,0.000887
1399-02,اردیبهشت 1399,سایر مدیران,بازنشستگی,8194124593727,0.003512
1399-02,اردیبهشت 1399,سایر مدیران,بخشی,2281973787089,0.000978
1399-02,اردیبهشت 1399,سایر مدیران,جسورانه,765059405911,0.000328
1399-02,اردیبهشت 1399,سایر مدیران,درآمد ثابت,1935095787851935,0.829445
1399-02,اردیبهشت 1399,سایر مدیران,سهامی,150510659111674,0.064514
1399-02,اردیبهشت 1399,سایر مدیران,شاخصی,3768839966440,0.001615
1399-02,اردیبهشت 1399,سایر مدیران,صندوق در صندوق,646578590622,0.000277
1399-02,اردیبهشت 1399,سایر مدیران,مختلط,14321108350718,0.006138
1399-02,اردیبهشت 1399,سایر مدیران,پروژه‌ای,9947944533967,0.004264
1399-02,اردیبهشت 1399,سایر مدیران,کالایی,19432384214601,0.008329
1399-02,اردیبهشت 1399,سبد گردان کاریزما,درآمد ثابت,27758433243092,0.011898
1399-02,اردیبهشت 1399,سبد گردان کاریزما,سهامی,6318617391693,0.002708
1399-02,اردیبهشت 1399,سبد گردان کاریزما,شاخصی,1748038601267,0.000749
1399-02,اردیبهشت 1399,سبدگردان آگاه,درآمد ثابت,5265342951765,0.002257
1399-02,اردیبهشت 1399,سبدگردان آگاه,سهامی,20509692123472,0.008791
1399-02,اردیبهشت 1399,سبدگردان آگاه,مختلط,90844412451,3.9e-05
1399-02,اردیبهشت 1399,سبدگردان توسعه فیروزه,درآمد ثابت,1811983320974,0.000777
1399-02,اردیبهشت 1399,سبدگردان توسعه فیروزه,سهامی,1230032295114,0.000527
1399-02,اردیبهشت 1399,سبدگردان توسعه فیروزه,شاخصی,1801794009994,0.000772
1399-02,اردیبهشت 1399,سبدگردان فارابی,درآمد ثابت,4434784860828,0.001901
1399-02,اردیبهشت 1399,سبدگردان فارابی,سهامی,4885751334158,0.002094
1399-02,اردیبهشت 1399,سبدگردان مفید,درآمد ثابت,51222252949961,0.021956
1399-02,اردیبهشت 1399,سبدگردان مفید,سهامی,48833648068176,0.020932
1399-02,اردیبهشت 1399,سبدگردان مفید,مختلط,2281240431774,0.000978
1399-02,اردیبهشت 1399,سبدگردان مفید,کالایی,1977738756564,0.000848
1399-02,اردیبهشت 1399,مشاور سرمایه گذاری ترنج,درآمد ثابت,1069335196694,0.000458
1399-02,اردیبهشت 1399,مشاور سرمایه گذاری ترنج,سهامی,4728976706412,0.002027
1399-03,خرداد 1399,سایر مدیران,اهرمی,2790187110198,0.001101
1399-03,خرداد 1399,سایر مدیران,بازنشستگی,12784604880262,0.005046
1399-03,خرداد 1399,سایر مدیران,بخشی,2556768336566,0.001009
1399-03,خرداد 1399,سایر مدیران,جسورانه,783801981410,0.000309
1399-03,خرداد 1399,سایر مدیران,خصوصی,500020604878,0.000197
1399-03,خرداد 1399,سایر مدیران,درآمد ثابت,2021937822553691,0.798077
1399-03,خرداد 1399,سایر مدیران,سهامی,200694596714287,0.079216
1399-03,خرداد 1399,سایر مدیران,شاخصی,5089815765115,0.002009
1399-03,خرداد 1399,سایر مدیران,صندوق در صندوق,708459647312,0.00028
1399-03,خرداد 1399,سایر مدیران,مختلط,18579284486409,0.007333
1399-03,خرداد 1399,سایر مدیران,پروژه‌ای,9947717806193,0.003926
1399-03,خرداد 1399,سایر مدیران,کالایی,21844255221531,0.008622
1399-03,خرداد 1399,سبد گردان کاریزما,درآمد ثابت,38696388486670,0.015274
1399-03,خرداد 1399,سبد گردان کاریزما,سهامی,7976397951727,0.003148
1399-03,خرداد 1399,سبد گردان کاریزما,شاخصی,2542119783787,0.001003
1399-03,خرداد 1399,سبدگردان آگاه,درآمد ثابت,5352359252470,0.002113
1399-03,خرداد 1399,سبدگردان آگاه,سهامی,26451856548270,0.010441
1399-03,خرداد 1399,سبدگردان آگاه,مختلط,112196656372,4.4e-05
1399-03,خرداد 1399,سبدگردان توسعه فیروزه,درآمد ثابت,1831196480006,0.000723
1399-03,خرداد 1399,سبدگردان توسعه فیروزه,سهامی,1349792542175,0.000533
1399-03,خرداد 1399,سبدگردان توسعه فیروزه,شاخصی,2169373384509,0.000856
1399-03,خرداد 1399,سبدگردان فارابی,درآمد ثابت,4596289319590,0.001814
1399-03,خرداد 1399,سبدگردان فارابی,سهامی,6711526587523,0.002649
1399-03,خرداد 1399,سبدگردان مفید,درآمد ثابت,61862039088983,0.024418
1399-03,خرداد 1399,سبدگردان مفید,سهامی,64760293354079,0.025561
1399-03,خرداد 1399,سبدگردان مفید,مختلط,2500017247124,0.000987
1399-03,خرداد 1399,سبدگردان مفید,کالایی,2057354499102,0.000812
1399-03,خرداد 1399,مشاور سرمایه گذاری ترنج,درآمد ثابت,1102910502443,0.000435
1399-03,خرداد 1399,مشاور سرمایه گذاری ترنج,سهامی,5222451916255,0.002061
1399-04,تیر 1399,سایر مدیران,اهرمی,3856267135016,0.001267
1399-04,تیر 1399,سایر مدیران,بازنشستگی,26439695858098,0.008688
1399-04,تیر 1399,سایر مدیران,بخشی,181479909984546,0.059631
1399-04,تیر 1399,سایر مدیران,جسورانه,783894647590,0.000258
1399-04,تیر 1399,سایر مدیران,خصوصی,497394361968,0.000163
1399-04,تیر 1399,سایر مدیران,درآمد ثابت,2095214551661047,0.688447
1399-04,تیر 1399,سایر مدیران,سهامی,316470723849194,0.103986
1399-04,تیر 1399,سایر مدیران,شاخصی,9364661778453,0.003077
1399-04,تیر 1399,سایر مدیران,صندوق در صندوق,813001753587,0.000267
1399-04,تیر 1399,سایر مدیران,مختلط,32718727578136,0.010751
1399-04,تیر 1399,سایر مدیران,پروژه‌ای,9953051387241,0.00327
1399-04,تیر 1399,سایر مدیران,کالایی,31651089210882,0.0104
1399-04,تیر 1399,سبد گردان اقتصاد بیدار,سهامی,4370371899766,0.001436
1399-04,تیر 1399,سبد گردان کاریزما,درآمد ثابت,48672853253077,0.015993
1399-04,تیر 1399,سبد گردان کاریزما,سهامی,10750896645733,0.003533
1399-04,تیر 1399,سبد گردان کاریزما,شاخصی,4106759566943,0.001349
1399-04,تیر 1399,سبدگردان آگاه,درآمد ثابت,5361948870625,0.001762
1399-04,تیر 1399,سبدگردان آگاه,سهامی,35546447468506,0.01168
1399-04,تیر 1399,سبدگردان آگاه,مختلط,153494771906,5e-05
1399-04,تیر 1399,سبدگردان توسعه فیروزه,درآمد ثابت,1868293025500,0.000614
1399-04,تیر 1399,سبدگردان توسعه فیروزه,سهامی,1685418444570,0.000554
1399-04,تیر 1399,سبدگردان توسعه فیروزه,شاخصی,4058952218559,0.001334
1399-04,تیر 1399,سبدگردان فارابی,درآمد ثابت,4774370550939,0.001569
1399-04,تیر 1399,سبدگردان فارابی,سهامی,10286849762441,0.00338
1399-04,تیر 1399,سبدگردان مفید,درآمد ثابت,86846311616640,0.028536
1399-04,تیر 1399,سبدگردان مفید,سهامی,102120189354545,0.033555
1399-04,تیر 1399,سبدگردان مفید,مختلط,2969006619234,0.000976
1399-04,تیر 1399,سبدگردان مفید,کالایی,2662906563522,0.000875
1399-04,تیر 1399,مشاور سرمایه گذاری ترنج,درآمد ثابت,1104393442097,0.000363
1399-04,تیر 1399,مشاور سرمایه گذاری ترنج,سهامی,6809806605750,0.002238
1399-05,مرداد 1399,سایر مدیران,اهرمی,3406130523394,0.001098
1399-05,مرداد 1399,سایر مدیران,بازنشستگی,26947658658770,0.008685
1399-05,مرداد 1399,سایر مدیران,بخشی,161282712163479,0.051979
1399-05,مرداد 1399,سایر مدیران,جسورانه,782852904622,0.000252
1399-05,مرداد 1399,سایر مدیران,خصوصی,502017139850,0.000162
1399-05,مرداد 1399,سایر مدیران,درآمد ثابت,2186788125802732,0.704773
1399-05,مرداد 1399,سایر مدیران,سهامی,299702295735965,0.09659
1399-05,مرداد 1399,سایر مدیران,شاخصی,8895014366348,0.002867
1399-05,مرداد 1399,سایر مدیران,صندوق در صندوق,786105624121,0.000253
1399-05,مرداد 1399,سایر مدیران,مختلط,35505464688564,0.011443
1399-05,مرداد 1399,سایر مدیران,پروژه‌ای,9952823400979,0.003208
1399-05,مرداد 1399,سایر مدیران,کالایی,30505428215934,0.009831
1399-05,مرداد 1399,سبد گردان اقتصاد بیدار,سهامی,4324446009753,0.001394
1399-05,مرداد 1399,سبد گردان کاریزما,درآمد ثابت,70200150089604,0.022625
1399-05,مرداد 1399,سبد گردان کاریزما,سهامی,10201988660727,0.003288
1399-05,مرداد 1399,سبد گردان کاریزما,شاخصی,3440990791598,0.001109
1399-05,مرداد 1399,سبدگردان آگاه,درآمد ثابت,5405491546424,0.001742
1399-05,مرداد 1399,سبدگردان آگاه,سهامی,27387838859190,0.008827
1399-05,مرداد 1399,سبدگردان آگاه,مختلط,161012628800,5.2e-05
1399-05,مرداد 1399,سبدگردان توسعه فیروزه,جسورانه,52467704688,1.7e-05
1399-05,مرداد 1399,سبدگردان توسعه فیروزه,درآمد ثابت,1888669330962,0.000609
1399-05,مرداد 1399,سبدگردان توسعه فیروزه,سهامی,1747406605004,0.000563
1399-05,مرداد 1399,سبدگردان توسعه فیروزه,شاخصی,3577674848068,0.001153
