دوره,عنوان دوره,مدیر,نوع صندوق,خالص ارزش دارایی (ریال),سهم از کل صنعت
1399-Q1,بهار 1399,سایر مدیران,اختصاصی بازارگردانی,141222325297873.0,0.052743
1399-Q1,بهار 1399,سایر مدیران,بازنشستگی تکمیلی,12784604880262.0,0.004775
1399-Q1,بهار 1399,سایر مدیران,جسورانه,783801981410.0,0.000293
1399-Q1,بهار 1399,سایر مدیران,خصوصی,500020604878.0,0.000187
1399-Q1,بهار 1399,سایر مدیران,درآمد ثابت,2021937822553691.0,0.755141
1399-Q1,بهار 1399,سایر مدیران,سهامی,200694596714287.0,0.074954
1399-Q1,بهار 1399,سایر مدیران,سهامی - اهرمی,2790187110198.0,0.001042
1399-Q1,بهار 1399,سایر مدیران,سهامی - بخشی,2556768336566.0,0.000955
1399-Q1,بهار 1399,سایر مدیران,سهامی - شاخصی,5089815765115.0,0.001901
1399-Q1,بهار 1399,سایر مدیران,صندوق در صندوق,708459647312.0,0.000265
1399-Q1,بهار 1399,سایر مدیران,مختلط,18579284486409.0,0.006939
1399-Q1,بهار 1399,سایر مدیران,پروژه‌ای,9947717806193.0,0.003715
1399-Q1,بهار 1399,سایر مدیران,کالایی (طلا و ...),21844255221531.0,0.008158
1399-Q1,بهار 1399,سبد گردان کاریزما,اختصاصی بازارگردانی,1127249457845.0,0.000421
1399-Q1,بهار 1399,سبد گردان کاریزما,درآمد ثابت,38696388486670.0,0.014452
1399-Q1,بهار 1399,سبد گردان کاریزما,سهامی,7976397951727.0,0.002979
1399-Q1,بهار 1399,سبد گردان کاریزما,سهامی - شاخصی,2542119783787.0,0.000949
1399-Q1,بهار 1399,سبدگردان آگاه,درآمد ثابت,5352359252470.0,0.001999
1399-Q1,بهار 1399,سبدگردان آگاه,سهامی,26451856548270.0,0.009879
1399-Q1,بهار 1399,سبدگردان آگاه,مختلط,112196656372.0,4.2e-05
1399-Q1,بهار 1399,سبدگردان توسعه فیروزه,اختصاصی بازارگردانی,25348096557.0,9e-06
1399-Q1,بهار 1399,سبدگردان توسعه فیروزه,درآمد ثابت,1831196480006.0,0.000684
1399-Q1,بهار 1399,سبدگردان توسعه فیروزه,سهامی,1349792542175.0,0.000504
1399-Q1,بهار 1399,سبدگردان توسعه فیروزه,سهامی - شاخصی,2169373384509.0,0.00081
1399-Q1,بهار 1399,سبدگردان فارابی,اختصاصی بازارگردانی,433445974459.0,0.000162
1399-Q1,بهار 1399,سبدگردان فارابی,درآمد ثابت,4596289319590.0,0.001717
1399-Q1,بهار 1399,سبدگردان فارابی,سهامی,6711526587523.0,0.002507
1399-Q1,بهار 1399,سبدگردان مفید,اختصاصی بازارگردانی,1242215491109.0,0.000464
1399-Q1,بهار 1399,سبدگردان مفید,درآمد ثابت,61862039088983.0,0.023104
1399-Q1,بهار 1399,سبدگردان مفید,سهامی,64760293354079.0,0.024186
1399-Q1,بهار 1399,سبدگردان مفید,مختلط,2500017247124.0,0.000934
1399-Q1,بهار 1399,سبدگردان مفید,کالایی (طلا و ...),2057354499102.0,0.000768
1399-Q1,بهار 1399,مشاور سرمایه گذاری ترنج,درآمد ثابت,1102910502443.0,0.000412
1399-Q1,بهار 1399,مشاور سرمایه گذاری ترنج,سهامی,5222451916255.0,0.00195
1399-Q2,تابستان 1399,سایر مدیران,اختصاصی بازارگردانی,214063697476916.0,0.063104
1399-Q2,تابستان 1399,سایر مدیران,بازنشستگی تکمیلی,23400990112349.0,0.006898
1399-Q2,تابستان 1399,سایر مدیران,جسورانه,780221871011.0,0.00023
1399-Q2,تابستان 1399,سایر مدیران,خصوصی,501683048484.0,0.000148
1399-Q2,تابستان 1399,سایر مدیران,درآمد ثابت,2247431596819843.0,0.662524
1399-Q2,تابستان 1399,سایر مدیران,سهامی,234116685478013.0,0.069016
1399-Q2,تابستان 1399,سایر مدیران,سهامی - اهرمی,2860401923856.0,0.000843
1399-Q2,تابستان 1399,سایر مدیران,سهامی - بخشی,152456962952515.0,0.044943
1399-Q2,تابستان 1399,سایر مدیران,سهامی - شاخصی,8323131477529.0,0.002454
